Chingona Ventures lands $52M to fund overlooked founders in massive markets,https://techcrunch.com/2022/05/06/chingona-ventures-lands-52m-to-fund-overlooked-founders-in-massive-markets/
Judge tosses Trump’s lawsuit over his lifetime Twitter ban,https://techcrunch.com/2022/05/06/trump-twitter-ban-lawsuit/
"Daily Crunch: Fairly stagnant since April launch, Coinbase NFT sales volume is under $700K",https://techcrunch.com/2022/05/06/daily-crunch-fairly-stagnant-since-april-launch-coinbase-nft-sales-volume-is-under-700k/
Crypto’s cops get ready for an uneven war,https://techcrunch.com/2022/05/06/the-sec-gets-seed-funding/
Need advice on navigating a tough startup market? Start here,https://techcrunch.com/2022/05/06/advice-venture-capital-market-changes-2022/
Post-pandemic reset leads to wave of layoffs in tech,https://techcrunch.com/2022/05/06/startup-tech-layoffs-in-may/
"TechCrunch+ roundup: Psychedelic investor survey, 6 issues VCs look for, hiring on a budget",https://techcrunch.com/2022/05/06/techcrunch-roundup-psychedelic-investor-survey-6-issues-vcs-look-for-hiring-on-a-budget/
Daniel Ek pumps $50 million into Spotify: ‘I believe our best days are ahead’,https://techcrunch.com/2022/05/06/daniel-ek-50-million-spotify-stock/
Ava sets the example for universal live captioning and raises $10M to keep building,https://techcrunch.com/2022/05/06/ava-sets-the-example-for-universal-live-captioning-and-raises-10m-to-keep-building/
Consumers and data are driving changes in the insurance sector: Where are we headed?,https://techcrunch.com/2022/05/06/consumers-and-data-are-driving-changes-in-the-insurance-sector-where-are-we-headed/
Simone Giertz goes from projects to products,https://techcrunch.com/2022/05/06/simone-giertz-goes-from-projects-to-products/
Partner breakout sessions will drop serious knowledge at TC Sessions: Mobility 2022,https://techcrunch.com/2022/05/06/partner-breakout-sessions-will-drop-serious-knowledge-at-tc-sessions-mobility-2022/
Meta is integrating its Horizon Venues live events app into Horizon Worlds,https://techcrunch.com/2022/05/06/meta-integrating-venues-into-horizon-worlds/
Coinbase’s NFT marketplace is off to a lackluster start,https://techcrunch.com/2022/05/06/coinbases-nft-marketplace-is-off-to-a-lackluster-start/
Volunteer at TC Sessions: Mobility for a free Disrupt Pass,https://techcrunch.com/2022/05/06/volunteer-at-tc-sessions-mobility-for-a-free-disrupt-pass/
Codenotary launches a full-stack monitoring solution for Kubernetes and VMware environments,https://techcrunch.com/2022/05/06/codenotary-launches-a-full-stack-monitoring-solution-for-kubernetes-and-vmware-environments/
Watch the latest TechCrunch Live event on building a better mobility fintech startup,https://techcrunch.com/2022/05/06/watch-the-latest-techcrunch-live-event-on-building-a-better-mobility-fintech-startup/
24 hours left to save $200 on passes to TC Sessions: Climate 2022,https://techcrunch.com/2022/05/06/24-hours-left-to-save-200-on-passes-to-tc-sessions-climate-2022/
Spotify Stations has left the station,https://techcrunch.com/2022/05/06/spotify-stations-shutting-down-may-16/
Stripe is playing checkers with Plaid,https://techcrunch.com/2022/05/06/stripe-plaid-competition-fintech/
